"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","130","1655-S1MCT-ND","S1M","DIODE GEN PURP 1KV 1A SMA","","130","0","0.07000","9.10"
"2","130","31-DMN3731U-7CT-ND","DMN3731U-7","MOSFET N-CH 30V 900MA SOT23","","130","0","0.11850","15.41"
"3","130","RMCF0603FT100RCT-ND","RMCF0603FT100R","RES 100 OHM 1% 1/10W 0603","","130","0","0.00680","0.88"
"4","130","RNCP0603FTD10K0CT-ND","RNCP0603FTD10K0","RES 10K OHM 1% 1/8W 0603","","130","0","0.02480","3.22"
"5","10","A134903-ND","1-282837-6","TERM BLK 16P SIDE ENT 5.08MM PCB","","10","0","6.76200","67.62"
"6","10","ED10561-ND","OSTVN02A150","TERM BLK 2P SIDE ENT 2.54MM PCB","","10","0","0.59600","5.96"
"7","10","493-12902-1-ND","UVY1E101MDD1TD","CAP ALUM 100UF 20% 25V RADIAL","","10","0","0.27100","2.71"
